,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
430,Andy Grammer,Don’t Give Up On Me,196187,2020-06-08 08:17:00,0.64,0.537,0,-5.452,0,0.0282,0.0875,9.84e-06,0.11,0.0676,112.868,0fiijtFXDJ9MOVwgSaEQJ5,4
431,Dan + Shay,Speechless (feat. Tori Kelly),208960,2020-06-08 08:20:00,0.562,0.383,6,-6.063,1,0.0337,0.664,0.0,0.259,0.497,135.15,7nsOsdlqa9Srr1LBYyd9pC,4
433,Brett Young,Chapters,237106,2020-06-08 08:28:00,0.589,0.615,11,-6.816,1,0.0378,0.18,0.0,0.0967,0.66,81.015,4tQhxBKakIwoWZ7tuGBr7d,4
434,Mitchell Tenpenny,Drunk Me - R3HAB Remix,101108,2020-06-08 08:30:00,0.659,0.905,2,-3.113,1,0.144,0.0957,0.0,0.229,0.382,100.009,3kwL8x4afaomYsX3d4cmPL,4
472,Gabriel Elias,Fiz Esse Som Pra Você - Ralk Remix,121415,2020-06-11 15:17:00,0.76,0.619,1,-8.38,0,0.0464,0.00256,3.52e-05,0.294,0.538,125.052,08E0nvXBTp8ayyOaXwEtue,4
525,The Magician,You and Me,25082,2020-06-15 11:40:00,0.599,0.445,1,-8.525,0,0.0342,0.109,0.000952,0.123,0.0736,140.97,53QA7j4pHWAtbE3D0Glh7Q,4
526,Frankie Knuckles,The Whistle Song - Re-Directed,162975,2020-06-15 11:42:00,0.707,0.86,0,-6.188,1,0.033,0.00324,0.901,0.105,0.387,126.013,6wD0LWjn3WZMdLqatEc5vM,4
528,Kasbo,The Voice Says (feat. Charlie Kim),225206,2020-06-15 11:50:00,0.717,0.734,5,-4.699,1,0.0362,0.0404,0.0,0.326,0.313,112.513,5jQsMk69Kfs1W9Qh4Bpy45,3
529,Ryan Brahms,When I Was Me - ShiShi Remix,197333,2020-06-15 11:53:00,0.407,0.722,6,-5.44,1,0.094,0.0658,0.0,0.115,0.392,88.017,6HoXpEnhzeDpz7gYgGaYF0,4
530,Elderbrook,Numb,230040,2020-06-15 11:57:00,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,2nLtzopw4rPReszdYBJU6h,4
531,Clams Casino,I'm God,277710,2020-06-15 12:02:00,0.529,0.641,2,-6.78,1,0.0336,0.0711,0.76,0.102,0.089,141.931,0FVuyC9RP5MACjp4lgU3qZ,4
533,Diviners,Savannah,208698,2020-06-15 12:10:00,0.653,0.779,0,-3.133,1,0.0392,0.372,1.39e-06,0.0392,0.387,108.074,0ZdUHFxifUJNqo7G4aJzoF,4
534,Frost,Overtones,154850,2020-06-15 12:13:00,0.779,0.335,1,-13.0,1,0.039,0.458,0.00998,0.123,0.443,110.021,4X2lYn0z4g19He8cDw6QS3,4
536,Jody Wisternoff,Nightwhisper,217000,2020-06-15 12:20:00,0.674,0.894,1,-6.386,1,0.0341,0.0013,0.915,0.165,0.141,119.962,3SYO8wU4bEgIYt7AeGRIwG,4
537,Shallou,Endless,227586,2020-06-15 12:24:00,0.445,0.179,9,-10.423,1,0.0313,0.848,0.0,0.113,0.242,77.25,48hgejcosE4lY55TMNgN87,4
