,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Girls,0.432,0.689,2,-4.57,1,0.0292,0.00855,0,0.322,0.418,80.653,audio_features,0x2GjJRg2nqYixOcdFx3c8,spotify:track:0x2GjJRg2nqYixOcdFx3c8,https://api.spotify.com/v1/tracks/0x2GjJRg2nqYixOcdFx3c8,https://api.spotify.com/v1/audio-analysis/0x2GjJRg2nqYixOcdFx3c8,186513,1
"Ep 7: He Asked, He Died",,,,,,,,,,,,,,,,,,
So Sick (feat. blackbear) [Martin Jensen Remix],0.803,0.491,6,-7.196,1,0.0821,0.121,9.69e-06,0.0689,0.589,121.984,audio_features,4j1fFJvUcQxMrLEMBHV9NQ,spotify:track:4j1fFJvUcQxMrLEMBHV9NQ,https://api.spotify.com/v1/tracks/4j1fFJvUcQxMrLEMBHV9NQ,https://api.spotify.com/v1/audio-analysis/4j1fFJvUcQxMrLEMBHV9NQ,165492,4
i miss u (with Au/Ra),0.668,0.726,9,-7.512,1,0.0468,0.0387,0,0.134,0.453,124.075,audio_features,7CH8J4ulT49UfZwSDSkSZA,spotify:track:7CH8J4ulT49UfZwSDSkSZA,https://api.spotify.com/v1/tracks/7CH8J4ulT49UfZwSDSkSZA,https://api.spotify.com/v1/audio-analysis/7CH8J4ulT49UfZwSDSkSZA,172143,4
Blind,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
My Own Dance,0.836,0.725,11,-5.367,0,0.103,0.0771,0,0.0367,0.443,102.026,audio_features,1JWQRZr8rlmTAb74rFBUO5,spotify:track:1JWQRZr8rlmTAb74rFBUO5,https://api.spotify.com/v1/tracks/1JWQRZr8rlmTAb74rFBUO5,https://api.spotify.com/v1/audio-analysis/1JWQRZr8rlmTAb74rFBUO5,161173,4
Change,0.784,0.753,6,-4.099,0,0.213,0.438,0,0.167,0.532,116.959,audio_features,4cBlIM5AjnQ74f52Dv7T5K,spotify:track:4cBlIM5AjnQ74f52Dv7T5K,https://api.spotify.com/v1/tracks/4cBlIM5AjnQ74f52Dv7T5K,https://api.spotify.com/v1/audio-analysis/4cBlIM5AjnQ74f52Dv7T5K,234074,4
Love You Like A Love Song,0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117.009,audio_features,0laYHRpNTS6i8FXdupHkJ4,spotify:track:0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/tracks/0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/audio-analysis/0laYHRpNTS6i8FXdupHkJ4,188453,4
Never Really Over,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,audio_features,5PYQUBXc7NYeI1obMKSJK0,spotify:track:5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/tracks/5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/audio-analysis/5PYQUBXc7NYeI1obMKSJK0,223523,4
Thai Massage,0.804,0.773,8,-7.567,0,0.0736,0.042,0,0.371,0.646,99.986,audio_features,0NPgN33t7QlDKB5Ciw7CZJ,spotify:track:0NPgN33t7QlDKB5Ciw7CZJ,https://api.spotify.com/v1/tracks/0NPgN33t7QlDKB5Ciw7CZJ,https://api.spotify.com/v1/audio-analysis/0NPgN33t7QlDKB5Ciw7CZJ,138895,4
Oye Mami,0.754,0.921,5,-2.044,0,0.0445,0.00475,0.338,0.61,0.752,125.989,audio_features,3YWYtU9jDCUfOOeo7iprbJ,spotify:track:3YWYtU9jDCUfOOeo7iprbJ,https://api.spotify.com/v1/tracks/3YWYtU9jDCUfOOeo7iprbJ,https://api.spotify.com/v1/audio-analysis/3YWYtU9jDCUfOOeo7iprbJ,140971,4
Ep 1: Too Close to See?,0.322,0.836,4,-3.083,0,0.0863,0.0222,0,0.19,0.403,162.057,audio_features,4JCFLDaQ1rqDsexY7ihJuU,spotify:track:4JCFLDaQ1rqDsexY7ihJuU,https://api.spotify.com/v1/tracks/4JCFLDaQ1rqDsexY7ihJuU,https://api.spotify.com/v1/audio-analysis/4JCFLDaQ1rqDsexY7ihJuU,203180,4
