,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
858,Him & I (with Halsey),2020-06-30 10:24,G-Eazy,Him & I (with Halsey),111597,2020-06-30 10:24:00,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,audio_features,5k38wzpLb15YgncyWdTZE4,spotify:track:5k38wzpLb15YgncyWdTZE4,https://api.spotify.com/v1/tracks/5k38wzpLb15YgncyWdTZE4,https://api.spotify.com/v1/audio-analysis/5k38wzpLb15YgncyWdTZE4,268867,4
859,Colors,2020-06-30 10:28,Halsey,Colors,249499,2020-06-30 10:28:00,0.337,0.835,2,-6.351,0,0.057,0.00174,0.0,0.0945,0.418,87.561,audio_features,1ZtVN326V42hioNyRjU4P2,spotify:track:1ZtVN326V42hioNyRjU4P2,https://api.spotify.com/v1/tracks/1ZtVN326V42hioNyRjU4P2,https://api.spotify.com/v1/audio-analysis/1ZtVN326V42hioNyRjU4P2,198533,4
860,Bad At Love,2020-06-30 10:35,Halsey,Bad At Love,181279,2020-06-30 10:35:00,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,audio_features,3OzCF9i6Ey7EkkAYJztmKp,spotify:track:3OzCF9i6Ey7EkkAYJztmKp,https://api.spotify.com/v1/tracks/3OzCF9i6Ey7EkkAYJztmKp,https://api.spotify.com/v1/audio-analysis/3OzCF9i6Ey7EkkAYJztmKp,181279,4
861,Roman Holiday,2020-06-30 10:36,Halsey,Roman Holiday,15033,2020-06-30 10:36:00,0.377,0.836,5,-4.429,1,0.0416,0.0322,2.39e-05,0.105,0.747,74.118,audio_features,6s8PRmROPJHlqZmu9Bbviz,spotify:track:6s8PRmROPJHlqZmu9Bbviz,https://api.spotify.com/v1/tracks/6s8PRmROPJHlqZmu9Bbviz,https://api.spotify.com/v1/audio-analysis/6s8PRmROPJHlqZmu9Bbviz,201549,4
862,Colors,2020-06-30 10:40,Halsey,Colors,249499,2020-06-30 10:40:00,0.337,0.835,2,-6.351,0,0.057,0.00174,0.0,0.0945,0.418,87.561,audio_features,1ZtVN326V42hioNyRjU4P2,spotify:track:1ZtVN326V42hioNyRjU4P2,https://api.spotify.com/v1/tracks/1ZtVN326V42hioNyRjU4P2,https://api.spotify.com/v1/audio-analysis/1ZtVN326V42hioNyRjU4P2,198533,4
863,Bad At Love,2020-06-30 10:43,Halsey,Bad At Love,181279,2020-06-30 10:43:00,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,audio_features,3OzCF9i6Ey7EkkAYJztmKp,spotify:track:3OzCF9i6Ey7EkkAYJztmKp,https://api.spotify.com/v1/tracks/3OzCF9i6Ey7EkkAYJztmKp,https://api.spotify.com/v1/audio-analysis/3OzCF9i6Ey7EkkAYJztmKp,181279,4
864,Roman Holiday,2020-06-30 10:57,Halsey,Roman Holiday,5592,2020-06-30 10:57:00,0.377,0.836,5,-4.429,1,0.0416,0.0322,2.39e-05,0.105,0.747,74.118,audio_features,6s8PRmROPJHlqZmu9Bbviz,spotify:track:6s8PRmROPJHlqZmu9Bbviz,https://api.spotify.com/v1/tracks/6s8PRmROPJHlqZmu9Bbviz,https://api.spotify.com/v1/audio-analysis/6s8PRmROPJHlqZmu9Bbviz,201549,4
865,Castle,2020-06-30 11:02,Halsey,Castle,2577,2020-06-30 11:02:00,0.627,0.572,7,-7.461,0,0.0328,0.252,0.0,0.0946,0.163,129.965,audio_features,16w8ZGVSjI4TlTLV8VimBY,spotify:track:16w8ZGVSjI4TlTLV8VimBY,https://api.spotify.com/v1/tracks/16w8ZGVSjI4TlTLV8VimBY,https://api.spotify.com/v1/audio-analysis/16w8ZGVSjI4TlTLV8VimBY,277623,4
866,clementine,2020-06-30 11:07,Halsey,clementine,1044,2020-06-30 11:07:00,0.634,0.67,6,-5.422,1,0.0747,0.0305,2.06e-06,0.144,0.361,169.17,audio_features,06ZVdd9hNVlNv9fAd5NUok,spotify:track:06ZVdd9hNVlNv9fAd5NUok,https://api.spotify.com/v1/tracks/06ZVdd9hNVlNv9fAd5NUok,https://api.spotify.com/v1/audio-analysis/06ZVdd9hNVlNv9fAd5NUok,164410,4
867,Dance Dance Dance,2020-06-30 11:08,Astrid S,Dance Dance Dance,75708,2020-06-30 11:08:00,0.822,0.746,1,-4.963,0,0.0665,0.316,0.0542,0.143,0.298,128.06,audio_features,6iZNerKaMbtDYsy9n6cKId,spotify:track:6iZNerKaMbtDYsy9n6cKId,https://api.spotify.com/v1/tracks/6iZNerKaMbtDYsy9n6cKId,https://api.spotify.com/v1/audio-analysis/6iZNerKaMbtDYsy9n6cKId,236250,4
868,I Still Remember (R3HAB Remix),2020-06-30 11:09,Caroline Romano,I Still Remember (R3HAB Remix),83664,2020-06-30 11:09:00,0.774,0.577,7,-8.009,0,0.0694,0.19,0.0,0.642,0.636,124.002,audio_features,30eirMgaGW0OpA3Yi8U4bL,spotify:track:30eirMgaGW0OpA3Yi8U4bL,https://api.spotify.com/v1/tracks/30eirMgaGW0OpA3Yi8U4bL,https://api.spotify.com/v1/audio-analysis/30eirMgaGW0OpA3Yi8U4bL,171774,4
869,All The Lies,2020-06-30 11:10,Alok,All The Lies,5128,2020-06-30 11:10:00,0.432,0.895,1,-4.047,1,0.0726,0.000135,1.45e-05,0.173,0.324,89.999,audio_features,0Tz5CkTKOOpFP7DMmYmNRU,spotify:track:0Tz5CkTKOOpFP7DMmYmNRU,https://api.spotify.com/v1/tracks/0Tz5CkTKOOpFP7DMmYmNRU,https://api.spotify.com/v1/audio-analysis/0Tz5CkTKOOpFP7DMmYmNRU,244667,4
870,The Middle,2020-07-01 04:01,Zedd,The Middle,184732,2020-07-01 04:01:00,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,audio_features,6GG73Jik4jUlQCkKg9JuGO,spotify:track:6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/tracks/6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/audio-analysis/6GG73Jik4jUlQCkKg9JuGO,165853,4
871,Fast Car,2020-07-01 04:04,Jonas Blue,Fast Car,212424,2020-07-01 04:04:00,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4
872,Closer,2020-07-01 04:08,The Chainsmokers,Closer,244960,2020-07-01 04:08:00,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
873,Your Side Of The Bed (feat. Eric Nam),2020-07-02 03:41,Loote,Your Side Of The Bed (feat. Eric Nam),19282,2020-07-02 03:41:00,0.754,0.764,8,-3.95,1,0.0312,0.144,0.0,0.294,0.929,109.919,audio_features,3dz63QjQVZy7RYPzx6l3JU,spotify:track:3dz63QjQVZy7RYPzx6l3JU,https://api.spotify.com/v1/tracks/3dz63QjQVZy7RYPzx6l3JU,https://api.spotify.com/v1/audio-analysis/3dz63QjQVZy7RYPzx6l3JU,196160,4
874,Your Side Of The Bed (feat. Eric Nam),2020-07-02 03:45,Loote,Your Side Of The Bed (feat. Eric Nam),194700,2020-07-02 03:45:00,0.754,0.764,8,-3.95,1,0.0312,0.144,0.0,0.294,0.929,109.919,audio_features,3dz63QjQVZy7RYPzx6l3JU,spotify:track:3dz63QjQVZy7RYPzx6l3JU,https://api.spotify.com/v1/tracks/3dz63QjQVZy7RYPzx6l3JU,https://api.spotify.com/v1/audio-analysis/3dz63QjQVZy7RYPzx6l3JU,196160,4
875,You Don't Know Me,2020-07-02 03:50,Kevin Silvester,You Don't Know Me,239297,2020-07-02 03:50:00,0.877,0.658,11,-6.055,0,0.132,0.163,0.0,0.108,0.693,123.999,audio_features,1rFMYAZxBoAKSzXI54brMu,spotify:track:1rFMYAZxBoAKSzXI54brMu,https://api.spotify.com/v1/tracks/1rFMYAZxBoAKSzXI54brMu,https://api.spotify.com/v1/audio-analysis/1rFMYAZxBoAKSzXI54brMu,213947,4
876,Jealous - Remix,2020-07-02 03:53,Nick Jonas,Jealous - Remix,222186,2020-07-02 03:53:00,0.684,0.71,11,-3.619,0,0.0768,0.0132,0.0,0.444,0.439,93.006,audio_features,5NQJnRpJHRaupdegphntQT,spotify:track:5NQJnRpJHRaupdegphntQT,https://api.spotify.com/v1/tracks/5NQJnRpJHRaupdegphntQT,https://api.spotify.com/v1/audio-analysis/5NQJnRpJHRaupdegphntQT,222187,4
877,Bitter Love,2020-07-02 04:07,Pia Mia,Bitter Love,188588,2020-07-02 04:07:00,0.365,0.652,7,-2.666,1,0.0356,0.146,0.0,0.114,0.143,101.65,audio_features,4wOXx92SlZWxNtuBytlMsK,spotify:track:4wOXx92SlZWxNtuBytlMsK,https://api.spotify.com/v1/tracks/4wOXx92SlZWxNtuBytlMsK,https://api.spotify.com/v1/audio-analysis/4wOXx92SlZWxNtuBytlMsK,217809,3
878,Bitter Love,2020-07-03 03:31,Pia Mia,Bitter Love,29417,2020-07-03 03:31:00,0.365,0.652,7,-2.666,1,0.0356,0.146,0.0,0.114,0.143,101.65,audio_features,4wOXx92SlZWxNtuBytlMsK,spotify:track:4wOXx92SlZWxNtuBytlMsK,https://api.spotify.com/v1/tracks/4wOXx92SlZWxNtuBytlMsK,https://api.spotify.com/v1/audio-analysis/4wOXx92SlZWxNtuBytlMsK,217809,3
879,Cross Me,2020-07-03 03:35,Vibe2Vibe,Cross Me,210326,2020-07-03 03:35:00,0.746,0.787,4,-6.373,1,0.12,0.212,0.0,0.0669,0.607,95.005,audio_features,4wuCQX7JvAZLlrcmH4AeZF,spotify:track:4wuCQX7JvAZLlrcmH4AeZF,https://api.spotify.com/v1/tracks/4wuCQX7JvAZLlrcmH4AeZF,https://api.spotify.com/v1/audio-analysis/4wuCQX7JvAZLlrcmH4AeZF,206187,4
